date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:34	681/681	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jun%202021%2008:31:34%20GMT	http://d.playalotgames.com/robots.txt		(from )
14:31:36	4720/4720	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2012:23:30%20GMT	http://d.playalotgames.com/	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/index.html	(from )
14:31:36	2158/2158	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/styles/components/normalize.min.css	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/assets/styles/components/normalize.min.css	(from http://d.playalotgames.com/)
14:31:37	24225/24225	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/public/css/main.css	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/css/main.css	(from http://d.playalotgames.com/)
14:31:37	22869/22869	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/public/css/swiper.css	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/css/swiper.css	(from http://d.playalotgames.com/)
14:31:37	4720/4720	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2012:23:30%20GMT	http://d.playalotgames.com/index.html	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/index-2.html	(from http://d.playalotgames.com/)
14:31:38	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jun%202021%2008:31:38%20GMT	http://d.playalotgames.com/blog.html	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/blog.html	(from http://d.playalotgames.com/)
14:31:39	11042/11042	---M--	200	added ('OK')	image/png	etag:%2264e897575fd51:0%22	http://d.playalotgames.com/public/img/androidqr.png?v=2	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/androidqr5e1f.png	(from http://d.playalotgames.com/)
14:31:39	17439/17439	---M--	200	added ('OK')	image/png	etag:%22ee1f9b575fd51:0%22	http://d.playalotgames.com/public/img/iosqr.png?v=2	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/iosqr5e1f.png	(from http://d.playalotgames.com/)
14:31:39	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jun%202021%2008:31:39%20GMT	http://d.playalotgames.com/itms-services://?action=download-manifest&url=https://d1.playalotgames.com/product/XEGamev3.plist	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/itms-services_/indexb26f.html	(from http://d.playalotgames.com/)
14:31:42	3755/3755	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/javascripts/main.js	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/assets/javascripts/main.js	(from http://d.playalotgames.com/)
14:31:44	45250/45250	---M--	200	added ('OK')	image/png	etag:%2281b390661db3d41:0%22	http://d.playalotgames.com/public/img/webqr.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/webqr.png	(from http://d.playalotgames.com/)
14:31:45	29382/29382	---M--	200	added ('OK')	image/png	etag:%2291f88e3f3ac4d41:0%22	http://d.playalotgames.com/public/img/tishi@2x.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/tishi@2x.png	(from http://d.playalotgames.com/)
14:31:45	138/138	---M--	200	added ('OK')	image/png	etag:%22d3123876cda5d41:0%22	http://d.playalotgames.com/public/img/top-bg.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/top-bg.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:46	191/191	---M--	200	added ('OK')	image/png	etag:%225bbc1e76cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/menu-btn.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:47	181/181	---M--	200	added ('OK')	image/png	etag:%22542376cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn-main-h.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/menu-btn-main-h.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:47	163/163	---M--	200	added ('OK')	image/png	etag:%22e2ff2476cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn-vip.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/menu-btn-vip.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:47	157/157	---M--	200	added ('OK')	image/png	etag:%2233212776cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn-vip-h.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/menu-btn-vip-h.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:48	16433/16433	---M--	200	added ('OK')	image/png	etag:%2280e91c76cda5d41:0%22	http://d.playalotgames.com/public/img/logo.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/logo.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:49	5467/5467	---M--	200	added ('OK')	image/png	etag:%22a3f01876cda5d41:0%22	http://d.playalotgames.com/public/img/left-download.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/left-download.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:49	270478/270478	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/javascripts/swiper.js	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/assets/javascripts/swiper.js	(from http://d.playalotgames.com/)
14:31:49	3993/3993	---M--	200	added ('OK')	image/png	etag:%2256642d76cda5d41:0%22	http://d.playalotgames.com/public/img/slide-border.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/slide-border.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:49	273843/273843	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/javascripts/jquery-3.1.0.js	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/assets/javascripts/jquery-3.1.0.js	(from http://d.playalotgames.com/)
14:31:50	412/412	---M--	200	added ('OK')	image/png	etag:%2270412b76cda5d41:0%22	http://d.playalotgames.com/public/img/right-arr.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/right-arr.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:50	500/500	---M--	200	added ('OK')	image/png	etag:%227f61676cda5d41:0%22	http://d.playalotgames.com/public/img/left-arr.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/left-arr.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:51	15253/15253	---M--	200	added ('OK')	image/jpeg	etag:%2259fa1476cda5d41:0%22	http://d.playalotgames.com/public/img/items-bg.jpg	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/items-bg.jpg	(from http://d.playalotgames.com/public/css/main.css)
14:31:51	2657/2657	---M--	200	added ('OK')	image/png	etag:%221a621276cda5d41:0%22	http://d.playalotgames.com/public/img/item-border.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/item-border.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:51	537/537	---M--	200	added ('OK')	image/png	etag:%221ccd3376cda5d41:0%22	http://d.playalotgames.com/public/img/star-bg.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/star-bg.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:51	546/546	---M--	200	added ('OK')	image/png	etag:%2248f83176cda5d41:0%22	http://d.playalotgames.com/public/img/star.png	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/star.png	(from http://d.playalotgames.com/public/css/main.css)
14:31:53	2460/2460	---M--	200	added ('OK')	image/jpeg	etag:%228991e76cda5d41:0%22	http://d.playalotgames.com/public/img/footer-bg.jpg	H:/ProgrammingHero/downloaded%20from%20others/PlayALotGame/d.playalotgames.com/public/img/footer-bg.jpg	(from http://d.playalotgames.com/public/css/main.css)
